invoiceid,customerid,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,total,last_update
2101,266,2018-01-18 00:00:00+00,624 Oshawa Boulevard,Balurghat,,India,849UC-31,1.98,2023-01-04 12:05:43.425053+00
2102,267,2022-05-01 00:00:00+00,43 Dadu Avenue,Bhilwara,,India,908ON-64,2.97,2023-01-04 12:05:43.42609+00
2103,268,2022-09-22 00:00:00+00,751 Lima Loop,Aden,,Yemen,792LL-710,1.98,2023-01-04 12:05:43.427133+00
2104,269,2018-05-16 00:00:00+00,1333 Haldia Street,Fuyu,,China,2810TA-74,3.96,2023-01-04 12:05:43.428204+00
2105,270,2018-12-27 00:00:00+00,660 Jedda Boulevard,Bellevue,,United States,833IL-66,5.95,2023-01-04 12:05:43.42926+00
2106,271,2022-07-18 00:00:00+00,1001 Miyakonojo Lane,Taizz,,Yemen,850IN-49,1.98,2023-01-04 12:05:43.430305+00
2107,272,2021-04-19 00:00:00+00,226 Brest Manor,Sunnyvale,,United States,271RI-60,1.98,2023-01-04 12:05:43.431995+00
2108,273,2018-01-13 00:00:00+00,1229 Valencia Parkway,Stara Zagora,,Bulgaria,316ES-89,3.96,2023-01-04 12:05:43.437065+00
2109,274,2021-10-16 00:00:00+00,1201 Qomsheh Manor,Aparecida de Goinia,,Brazil,784AT-88,1.98,2023-01-04 12:05:43.438631+00
2110,275,2018-03-19 00:00:00+00,866 Shivapuri Manor,Sambhal,,India,267GN-90,2.97,2023-01-04 12:05:43.44026+00
2111,96,2018-04-29 00:00:00+00,269 Cam Ranh Parkway,Chisinau,,Moldova,611AR-24,1.98,2023-01-04 12:05:43.44139+00
2112,97,2021-02-21 00:00:00+00,306 Antofagasta Place,Vila Velha,,Brazil,069EB-62,5.96,2023-01-04 12:05:43.442459+00
2113,98,2020-03-20 00:00:00+00,671 Graz Street,Nador,,Morocco,337MA-71,4.96,2023-01-04 12:05:43.443537+00
2114,99,2021-08-08 00:00:00+00,42 Brindisi Place,Yerevan,,Armenia,671TE-19,3.96,2023-01-04 12:05:43.444688+00
2115,100,2021-05-21 00:00:00+00,1632 Bislig Avenue,Pak Kret,,Thailand,347AR-109,4.95,2023-01-04 12:05:43.445795+00
2116,101,2020-10-14 00:00:00+00,1447 Imus Way,Faaa,,French Polynesia,569HR-89,0.99,2023-01-04 12:05:43.447274+00
2117,102,2019-10-04 00:00:00+00,1998 Halifax Drive,Lipetsk,,Russian Federation,927AR-28,1.98,2023-01-04 12:05:43.449968+00
2118,103,2018-09-01 00:00:00+00,1718 Valencia Street,Antofagasta,,Chile,413AN-83,0.99,2023-01-04 12:05:43.451757+00
2119,104,2021-05-26 00:00:00+00,46 Pjatigorsk Lane,Moscow,,Russian Federation,568AT-37,3.96,2023-01-04 12:05:43.453393+00
2120,105,2021-01-10 00:00:00+00,686 Garland Manor,Juazeiro do Norte,,Brazil,606RA-78,1.98,2023-01-04 12:05:43.454505+00
2121,106,2020-03-30 00:00:00+00,909 Garland Manor,Niznekamsk,,Russian Federation,766NN-56,7.93,2023-01-04 12:05:43.455602+00
2122,107,2022-12-18 00:00:00+00,725 Isesaki Place,Jedda,,Saudi Arabia,341OY-95,6.94,2023-01-04 12:05:43.456635+00
2123,108,2018-08-04 00:00:00+00,115 Hidalgo Parkway,Omdurman,,Sudan,663IA-29,2.97,2023-01-04 12:05:43.457693+00
2124,109,2019-04-06 00:00:00+00,1135 Izumisano Parkway,Fontana,,United States,925LI-51,2.97,2023-01-04 12:05:43.458722+00
2125,110,2020-01-18 00:00:00+00,939 Probolinggo Loop,A Corua (La Corua),,Spain,858UL-23,1.98,2023-01-04 12:05:43.459784+00
2126,111,2018-03-14 00:00:00+00,17 Kabul Boulevard,Nagareyama,,Japan,632EA-37,3.96,2023-01-04 12:05:43.460789+00
2127,112,2021-08-19 00:00:00+00,1964 Allappuzha (Alleppey) Street,Iwakuni,,Japan,722ER-710,3.96,2023-01-04 12:05:43.461881+00
2128,113,2022-03-10 00:00:00+00,1697 Kowloon and New Kowloon Loop,Balaiha,,Russian Federation,317OR-26,3.96,2023-01-04 12:05:43.464282+00
2129,114,2018-03-08 00:00:00+00,1668 Saint Louis Place,Papeete,,French Polynesia,10110LO-66,0.99,2023-01-04 12:05:43.467576+00
2130,115,2020-03-03 00:00:00+00,943 Tokat Street,Vaduz,,Liechtenstein,5110VE-13,6.93,2023-01-04 12:05:43.469068+00
2131,116,2019-07-06 00:00:00+00,1114 Liepaja Street,Kuching,,Malaysia,253EA-17,3.96,2023-01-04 12:05:43.470496+00
2132,117,2021-03-03 00:00:00+00,1213 Ranchi Parkway,Mysore,,India,748HE-66,1.98,2023-01-04 12:05:43.471604+00
2133,118,2018-09-07 00:00:00+00,81 Hodeida Way,Jaipur,,India,796IL-33,0.99,2023-01-04 12:05:43.472682+00
2134,119,2021-03-28 00:00:00+00,915 Ponce Place,Basel,,Switzerland,638AT-100,1.98,2023-01-04 12:05:43.473771+00
2135,120,2021-12-29 00:00:00+00,1717 Guadalajara Lane,Saint Louis,,United States,925OA-21,4.95,2023-01-04 12:05:43.47482+00
2136,121,2020-10-02 00:00:00+00,1214 Hanoi Way,Lincoln,,United States,970SH-103,2.97,2023-01-04 12:05:43.475926+00
2137,122,2019-01-09 00:00:00+00,1966 Amroha Avenue,Daxian,,China,032UD-64,3.96,2023-01-04 12:05:43.476962+00
2138,123,2019-08-02 00:00:00+00,698 Otsu Street,Cayenne,,French Guiana,933OS-19,4.95,2023-01-04 12:05:43.478209+00
2139,124,2019-10-26 00:00:00+00,1150 Kimchon Manor,Malm,,Sweden,9910AN-810,4.95,2023-01-04 12:05:43.480314+00
2140,125,2018-10-29 00:00:00+00,1586 Guaruj Place,Xiangtan,,China,962EL-09,2.98,2023-01-04 12:05:43.481807+00
2141,126,2019-11-28 00:00:00+00,57 Arlington Manor,Shivapuri,,India,686IC-90,4.96,2023-01-04 12:05:43.483246+00
2142,127,2020-01-30 00:00:00+00,1031 Daugavpils Parkway,Bchar,,Algeria,267UD-38,1.98,2023-01-04 12:05:43.485478+00
2143,128,2022-11-17 00:00:00+00,1124 Buenaventura Drive,al-Hawiya,,Saudi Arabia,334HR-72,0.99,2023-01-04 12:05:43.487879+00
2144,129,2019-06-13 00:00:00+00,492 Cam Ranh Street,Baybay,,Philippines,701AT-65,4.95,2023-01-04 12:05:43.489733+00
2145,130,2021-10-15 00:00:00+00,89 Allappuzha (Alleppey) Manor,Taguig,,Philippines,1044HE-12,6.94,2023-01-04 12:05:43.491866+00
2146,131,2022-04-27 00:00:00+00,1947 Poos de Caldas Boulevard,Chiayi,,Taiwan,577EV-26,1.98,2023-01-04 12:05:43.493559+00
2147,132,2018-02-12 00:00:00+00,1206 Dos Quebradas Place,Rio Claro,,Brazil,119EN-59,2.97,2023-01-04 12:05:43.496315+00
2148,133,2020-07-25 00:00:00+00,1551 Rampur Lane,Changhwa,,Taiwan,8107AM-14,1.98,2023-01-04 12:05:43.499976+00
2149,134,2018-05-07 00:00:00+00,602 Paarl Street,Pavlodar,,Kazakstan,990RE-75,1.98,2023-01-04 12:05:43.50252+00
2150,135,2021-01-16 00:00:00+00,1692 Ede Loop,Araatuba,,Brazil,939AN-95,2.97,2023-01-04 12:05:43.505348+00
2151,136,2021-10-09 00:00:00+00,936 Salzburg Lane,Rae Bareli,,India,627OR-22,0.99,2023-01-04 12:05:43.507058+00
2152,137,2021-11-05 00:00:00+00,586 Tete Way,Kamakura,,Japan,928AC-36,2.97,2023-01-04 12:05:43.508509+00
2153,138,2019-03-13 00:00:00+00,1888 Kabul Drive,Ife,,Nigeria,189AR-17,4.95,2023-01-04 12:05:43.510463+00
2154,139,2019-04-17 00:00:00+00,320 Baiyin Parkway,Mahajanga,,Madagascar,479ND-85,1.98,2023-01-04 12:05:43.511681+00
2155,140,2020-09-06 00:00:00+00,927 Baha Blanca Parkway,Simferopol,,Ukraine,061AT-70,3.96,2023-01-04 12:05:43.512776+00
2156,141,2020-08-27 00:00:00+00,929 Tallahassee Loop,Springs,,South Africa,3104OU-65,3.96,2023-01-04 12:05:43.513862+00
2157,142,2018-04-17 00:00:00+00,125 Citt del Vaticano Boulevard,Atlixco,,Mexico,908AR-36,2.97,2023-01-04 12:05:43.51567+00
2158,143,2018-02-14 00:00:00+00,1557 Ktahya Boulevard,Bradford,,United Kingdom,846NN-36,4.95,2023-01-04 12:05:43.518152+00
2159,144,2018-04-10 00:00:00+00,870 Ashqelon Loop,Songkhla,,Thailand,402AC-69,0.99,2023-01-04 12:05:43.521767+00
2160,145,2018-01-15 00:00:00+00,1740 Portoviejo Avenue,Sincelejo,,Colombia,733AN-89,5.94,2023-01-04 12:05:43.523843+00
2161,146,2020-10-07 00:00:00+00,1942 Ciparay Parkway,Cheju,,South Korea,145ON-106,1.98,2023-01-04 12:05:43.525216+00
2162,147,2021-06-24 00:00:00+00,1926 El Alto Avenue,La Plata,,Argentina,265UL-61,1.98,2023-01-04 12:05:43.526543+00
2163,148,2021-09-14 00:00:00+00,1952 Chatsworth Drive,Meixian,,China,6910UB-510,3.96,2023-01-04 12:05:43.52775+00
2164,149,2021-12-24 00:00:00+00,1370 Le Mans Avenue,Bandar Seri Begawan,,Brunei,450OI-48,1.98,2023-01-04 12:05:43.528855+00
2165,150,2021-12-08 00:00:00+00,984 Effon-Alaiye Avenue,Goinia,,Brazil,553IN-17,0.99,2023-01-04 12:05:43.530216+00
2166,151,2018-10-01 00:00:00+00,832 Nakhon Sawan Manor,Zalantun,,China,355HY-49,0.99,2023-01-04 12:05:43.531968+00
2167,152,2018-07-09 00:00:00+00,152 Kitwe Parkway,Bislig,,Philippines,398OR-97,1.98,2023-01-04 12:05:43.53397+00
2168,153,2022-03-01 00:00:00+00,1697 Tanauan Lane,Pathankot,,India,331AU-25,0.99,2023-01-04 12:05:43.536194+00
2169,154,2021-10-03 00:00:00+00,1308 Arecibo Way,Augusta-Richmond County,,United States,2103IA-04,2.97,2023-01-04 12:05:43.537795+00
2170,155,2020-01-07 00:00:00+00,1599 Plock Drive,Tete,,Mozambique,329NN-76,3.97,2023-01-04 12:05:43.53935+00
2171,156,2022-12-20 00:00:00+00,669 Firozabad Loop,al-Ayn,,United Arab Emirates,814IL-89,2.97,2023-01-04 12:05:43.540464+00
2172,157,2019-02-01 00:00:00+00,588 Vila Velha Manor,Kimchon,,South Korea,672MI-47,2.97,2023-01-04 12:05:43.541579+00
2173,158,2022-08-16 00:00:00+00,1913 Kamakura Place,Jelets,,Russian Federation,655OB-26,4.95,2023-01-04 12:05:43.542643+00
2174,159,2018-03-18 00:00:00+00,733 Mandaluyong Place,Abha,,Saudi Arabia,421EG-11,3.96,2023-01-04 12:05:43.543678+00
2175,160,2020-02-02 00:00:00+00,659 Vaduz Drive,Ashdod,,Israel,528RY-24,4.95,2023-01-04 12:05:43.544763+00
2176,161,2018-05-08 00:00:00+00,1177 Jelets Way,Ilorin,,Nigeria,263LA-92,2.97,2023-01-04 12:05:43.545785+00
2177,162,2021-12-15 00:00:00+00,1386 Yangor Avenue,Toulon,,France,7110IT-25,3.96,2023-01-04 12:05:43.546834+00
2178,163,2021-04-27 00:00:00+00,454 Nakhon Sawan Boulevard,Funafuti,,Tuvalu,628AW-40,2.97,2023-01-04 12:05:43.548448+00
2179,164,2020-01-27 00:00:00+00,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,,Russian Federation,5610ON-25,2.97,2023-01-04 12:05:43.5516+00
2180,165,2022-09-02 00:00:00+00,1532 Dzerzinsk Way,Merlo,,Argentina,524LO-74,9.91,2023-01-04 12:05:43.552914+00
2181,166,2021-11-10 00:00:00+00,1002 Ahmadnagar Manor,Huixquilucan,,Mexico,491RA-85,1.98,2023-01-04 12:05:43.554312+00
2182,167,2020-09-23 00:00:00+00,682 Junan Way,Klerksdorp,,South Africa,588DN-81,3.96,2023-01-04 12:05:43.555542+00
2183,168,2020-06-21 00:00:00+00,804 Elista Drive,Enshi,,China,913IF-36,2.97,2023-01-04 12:05:43.556663+00
2184,169,2019-12-14 00:00:00+00,1378 Alvorada Avenue,Caracas,,Venezuela,582AR-01,1.98,2023-01-04 12:05:43.557767+00
2185,170,2018-05-23 00:00:00+00,793 Cam Ranh Avenue,Lancaster,,United States,861OS-91,2.97,2023-01-04 12:05:43.558837+00
2186,171,2020-06-06 00:00:00+00,1079 Tel Aviv-Jaffa Boulevard,Cuman,,Venezuela,696IN-72,1.98,2023-01-04 12:05:43.559914+00
2187,172,2020-10-20 00:00:00+00,442 Rae Bareli Place,Duisburg,,Germany,113RA-59,2.97,2023-01-04 12:05:43.560976+00
2188,173,2019-12-11 00:00:00+00,1107 Nakhon Sawan Avenue,Nezahualcyotl,,Mexico,713EN-28,4.96,2023-01-04 12:05:43.562009+00
2189,174,2022-10-26 00:00:00+00,544 Malm Parkway,Pemalang,,Indonesia,497IC-66,3.97,2023-01-04 12:05:43.563053+00
2190,175,2019-12-18 00:00:00+00,1967 Sincelejo Place,Gandhinagar,,India,713DI-37,1.98,2023-01-04 12:05:43.564185+00
2191,176,2022-11-21 00:00:00+00,333 Goinia Way,Grand Prairie,,United States,1091IM-07,2.97,2023-01-04 12:05:43.567077+00
2192,177,2022-07-11 00:00:00+00,1987 Coacalco de Berriozbal Loop,Shubra al-Khayma,,Egypt,504HE-88,2.97,2023-01-04 12:05:43.568786+00
2193,178,2022-05-07 00:00:00+00,241 Mosul Lane,Dos Quebradas,,Colombia,340YL-24,0.99,2023-01-04 12:05:43.570396+00
2194,179,2019-11-26 00:00:00+00,211 Chiayi Drive,Etawah,,India,922OS-61,2.97,2023-01-04 12:05:43.572076+00
2195,180,2019-08-01 00:00:00+00,1175 Tanauan Way,Lima,,Peru,959HE-19,3.96,2023-01-04 12:05:43.573166+00
2196,181,2020-08-30 00:00:00+00,117 Boa Vista Way,Varanasi (Benares),,India,942HA-14,1.98,2023-01-04 12:05:43.574268+00
2197,182,2019-02-07 00:00:00+00,848 Tafuna Manor,Ktahya,,Turkey,409HE-58,5.95,2023-01-04 12:05:43.575332+00
2198,183,2021-11-22 00:00:00+00,569 Baicheng Lane,Boksburg,,South Africa,877TH-108,3.96,2023-01-04 12:05:43.576356+00
2199,184,2019-07-07 00:00:00+00,1666 Qomsheh Drive,Po,,Brazil,315LL-74,2.98,2023-01-04 12:05:43.577392+00
2200,185,2022-09-28 00:00:00+00,801 Hagonoy Drive,Smolensk,,Russian Federation,947LA-310,2.97,2023-01-04 12:05:43.578434+00
2201,186,2018-11-16 00:00:00+00,1050 Garden Grove Avenue,Jastrzebie-Zdrj,,Poland,578AR-29,3.96,2023-01-04 12:05:43.579481+00
2202,187,2018-03-23 00:00:00+00,1854 Tieli Street,Liaocheng,,China,233AR-85,2.97,2023-01-04 12:05:43.580542+00
2203,188,2019-05-09 00:00:00+00,758 Junan Lane,guas Lindas de Gois,,Brazil,569HA-23,0.99,2023-01-04 12:05:43.582507+00
2204,189,2019-04-18 00:00:00+00,1752 So Leopoldo Parkway,Mukateve,,Ukraine,165ON-58,1.98,2023-01-04 12:05:43.584386+00
2205,190,2022-03-11 00:00:00+00,898 Belm Manor,Botshabelo,,South Africa,364ST-22,2.97,2023-01-04 12:05:43.586004+00
2206,191,2019-08-16 00:00:00+00,261 Saint Louis Way,Torren,,Mexico,580AU-06,4.95,2023-01-04 12:05:43.587611+00
2207,192,2020-10-01 00:00:00+00,765 Southampton Drive,Qalyub,,Egypt,263MM-110,2.97,2023-01-04 12:05:43.589081+00
2208,193,2020-04-30 00:00:00+00,943 Johannesburg Avenue,Pune,,India,686UA-74,4.95,2023-01-04 12:05:43.59018+00
2209,194,2020-11-30 00:00:00+00,788 Atinsk Street,Hubli-Dharwad,,India,9210NI-41,3.96,2023-01-04 12:05:43.591244+00
2210,195,2022-01-31 00:00:00+00,1749 Daxian Place,Apeldoorn,,Netherlands,488HO-99,3.96,2023-01-04 12:05:43.592308+00
2211,196,2019-05-27 00:00:00+00,1587 Sullana Lane,Hohhot,,China,488AZ-00,3.96,2023-01-04 12:05:43.593333+00
2212,197,2022-06-16 00:00:00+00,1029 Dzerzinsk Manor,Touliu,,Taiwan,514MB-91,2.97,2023-01-04 12:05:43.594409+00
2213,198,2022-08-27 00:00:00+00,1666 Beni-Mellal Place,Clarksville,,United States,0410VA-19,1.98,2023-01-04 12:05:43.595431+00
2214,199,2018-03-08 00:00:00+00,928 Jaffna Loop,Fukuyama,,Japan,778EB-96,2.97,2023-01-04 12:05:43.596465+00
2215,200,2020-08-01 00:00:00+00,483 Ljubertsy Parkway,Dundee,,United Kingdom,230PR-36,2.97,2023-01-04 12:05:43.599074+00
2216,201,2018-06-29 00:00:00+00,374 Bat Yam Boulevard,Kilis,,Turkey,210ES-28,4.95,2023-01-04 12:05:43.600255+00
2217,202,2019-08-29 00:00:00+00,1027 Songkhla Manor,Molodetno,,Belarus,1059LA-56,3.96,2023-01-04 12:05:43.601312+00
2218,203,2019-11-10 00:00:00+00,999 Sanaa Loop,Soshanguve,,South Africa,142UC-89,3.96,2023-01-04 12:05:43.60235+00
2219,204,2019-09-11 00:00:00+00,879 Newcastle Way,Sterling Heights,,United States,8210AM-410,2.97,2023-01-04 12:05:43.603383+00
2220,205,2022-07-02 00:00:00+00,1337 Lincoln Parkway,Urawa,,Japan,423OA-22,2.97,2023-01-04 12:05:43.604396+00
2221,206,2022-05-21 00:00:00+00,1952 Pune Lane,Saint-Denis,,Runion,617LE-88,3.96,2023-01-04 12:05:43.605581+00
2222,207,2021-11-23 00:00:00+00,782 Mosul Street,Brockton,,United States,087AL-42,3.96,2023-01-04 12:05:43.606934+00
2223,208,2019-12-11 00:00:00+00,781 Shimonoseki Drive,Hidalgo,,Mexico,344AN-65,1.98,2023-01-04 12:05:43.608022+00
2224,209,2021-02-08 00:00:00+00,1560 Jelets Boulevard,Laiwu,,China,557EG-12,3.96,2023-01-04 12:05:43.609082+00
2225,210,2022-06-13 00:00:00+00,1963 Moscow Place,Nagaon,,India,157LI-04,1.98,2023-01-04 12:05:43.61012+00
2226,211,2018-04-09 00:00:00+00,456 Escobar Way,Jakarta,,Indonesia,725UZ-76,4.95,2023-01-04 12:05:43.61117+00
2227,212,2019-07-23 00:00:00+00,798 Cianjur Avenue,Yuncheng,,China,0210IC-72,0.99,2023-01-04 12:05:43.612181+00
2228,213,2021-02-20 00:00:00+00,185 Novi Sad Place,Bern,,Switzerland,989AI-89,2.97,2023-01-04 12:05:43.614676+00
2229,214,2020-04-10 00:00:00+00,1367 Yantai Manor,Ondo,,Nigeria,934ER-07,2.97,2023-01-04 12:05:43.616444+00
2230,215,2018-01-17 00:00:00+00,1386 Nakhon Sawan Boulevard,Pyongyang,,North Korea,964AR-40,3.97,2023-01-04 12:05:43.617703+00
2231,216,2019-09-15 00:00:00+00,369 Papeete Way,Greensboro,,United States,703ER-59,4.95,2023-01-04 12:05:43.61881+00
2232,217,2021-10-27 00:00:00+00,1440 Compton Place,Linz,,Austria,120IL-72,2.97,2023-01-04 12:05:43.619895+00
2233,218,2021-11-18 00:00:00+00,1623 Baha Blanca Manor,Ljubertsy,,Russian Federation,494RI-50,2.97,2023-01-04 12:05:43.620954+00
2234,219,2022-10-18 00:00:00+00,97 Shimoga Avenue,Tel Aviv-Jaffa,,Israel,863ER-19,1.98,2023-01-04 12:05:43.62201+00
2235,220,2020-01-05 00:00:00+00,1740 Le Mans Loop,Le Mans,,France,4106AU-30,4.96,2023-01-04 12:05:43.623049+00
2236,221,2020-06-01 00:00:00+00,1287 Xiangfan Boulevard,Kakamigahara,,Japan,326AT-88,2.97,2023-01-04 12:05:43.62408+00
2237,222,2018-04-21 00:00:00+00,842 Salzburg Lane,Tarsus,,Turkey,3210OA-52,4.95,2023-01-04 12:05:43.625103+00
2238,223,2022-03-26 00:00:00+00,154 Tallahassee Loop,Hami,,China,268OR-78,3.96,2023-01-04 12:05:43.626117+00
2239,224,2021-09-19 00:00:00+00,710 San Felipe del Progreso Avenue,Lilongwe,,Malawi,868YN-31,3.96,2023-01-04 12:05:43.627442+00
2240,225,2019-12-04 00:00:00+00,1540 Wroclaw Drive,Chandrapur,,India,565AL-104,3.96,2023-01-04 12:05:43.628875+00
2241,226,2020-09-10 00:00:00+00,475 Atinsk Way,Jinchang,,China,981EG-91,1.98,2023-01-04 12:05:43.630671+00
2242,227,2020-05-18 00:00:00+00,1294 Firozabad Drive,Pingxiang,,China,717RI-52,2.98,2023-01-04 12:05:43.63246+00
2243,228,2020-12-29 00:00:00+00,1877 Ezhou Lane,Udaipur,,India,098EA-16,0.99,2023-01-04 12:05:43.633823+00
2244,229,2021-10-30 00:00:00+00,316 Uruapan Street,Ipoh,,Malaysia,380OL-89,4.95,2023-01-04 12:05:43.634929+00
2245,230,2018-01-23 00:00:00+00,29 Pyongyang Loop,Batman,,Turkey,893ER-40,2.97,2023-01-04 12:05:43.636015+00
2246,231,2019-06-06 00:00:00+00,1010 Klerksdorp Way,Graz,,Austria,7107UD-28,2.98,2023-01-04 12:05:43.637075+00
2247,232,2018-01-24 00:00:00+00,1848 Salala Boulevard,Ocumare del Tuy,,Venezuela,998VO-69,2.97,2023-01-04 12:05:43.638102+00
2248,233,2021-01-11 00:00:00+00,431 Xiangtan Avenue,Allappuzha (Alleppey),,India,786NN-76,0.99,2023-01-04 12:05:43.63914+00
2249,234,2022-10-21 00:00:00+00,757 Rustenburg Avenue,Skikda,,Algeria,038UN-86,1.98,2023-01-04 12:05:43.640188+00
2250,235,2022-07-07 00:00:00+00,146 Johannesburg Way,Matamoros,,Mexico,521AM-46,1.98,2023-01-04 12:05:43.641222+00
2251,236,2022-07-13 00:00:00+00,1891 Rizhao Boulevard,Santa Brbara dOeste,,Brazil,772AR-33,4.95,2023-01-04 12:05:43.642266+00
2252,237,2022-07-20 00:00:00+00,1089 Iwatsuki Avenue,Kirovo-Tepetsk,,Russian Federation,569AN-108,1.98,2023-01-04 12:05:43.643314+00
2253,238,2022-03-15 00:00:00+00,1410 Benin City Parkway,Pereira,,Colombia,331TA-04,1.98,2023-01-04 12:05:43.645567+00
2254,239,2018-11-04 00:00:00+00,682 Garden Grove Place,Memphis,,United States,724NA-010,5.95,2023-01-04 12:05:43.646762+00
2255,240,2019-08-15 00:00:00+00,533 al-Ayn Boulevard,Compton,,United States,031EN-88,3.97,2023-01-04 12:05:43.648436+00
2256,241,2020-11-06 00:00:00+00,1839 Szkesfehrvr Parkway,Luzinia,,Brazil,478DA-85,1.98,2023-01-04 12:05:43.649705+00
2257,242,2020-02-25 00:00:00+00,741 Ambattur Manor,s-Hertogenbosch,,Netherlands,394IV-35,0.99,2023-01-04 12:05:43.650775+00
2258,243,2022-05-22 00:00:00+00,927 Barcelona Street,Shahr-e Kord,,Iran,153OB-41,1.98,2023-01-04 12:05:43.651837+00
2259,244,2019-05-04 00:00:00+00,435 0 Way,Haldia,,India,629OL-54,6.93,2023-01-04 12:05:43.652872+00
2260,245,2019-04-16 00:00:00+00,140 Chiayi Parkway,Sumy,,Ukraine,766RI-37,3.96,2023-01-04 12:05:43.653916+00
2261,246,2022-10-11 00:00:00+00,1166 Changhwa Street,Bayugan,,Philippines,632EL-11,3.96,2023-01-04 12:05:43.654921+00
2262,247,2020-07-08 00:00:00+00,891 Novi Sad Manor,Oshawa,,Canada,610OR-97,1.98,2023-01-04 12:05:43.655942+00
2263,248,2022-10-09 00:00:00+00,605 Rio Claro Parkway,Tabora,,Tanzania,878OL-58,3.96,2023-01-04 12:05:43.656967+00
2264,249,2021-07-29 00:00:00+00,1077 San Felipe de Puerto Plata Place,Novoterkassk,,Russian Federation,966EA-76,3.96,2023-01-04 12:05:43.658008+00
2265,250,2020-10-04 00:00:00+00,9 San Miguel de Tucumn Manor,Firozabad,,India,694AU-69,2.97,2023-01-04 12:05:43.659037+00
2266,251,2022-07-11 00:00:00+00,447 Surakarta Loop,Kisumu,,Kenya,393AT-83,2.97,2023-01-04 12:05:43.661633+00
2267,252,2019-05-18 00:00:00+00,345 Oshawa Boulevard,Hino,,Japan,152RI-58,3.96,2023-01-04 12:05:43.662823+00
2268,253,2022-09-10 00:00:00+00,1792 Valle de la Pascua Place,Siegen,,Germany,4910AN-54,0.99,2023-01-04 12:05:43.663898+00
2269,254,2021-07-03 00:00:00+00,1074 Binzhou Manor,Mannheim,,Germany,677LM-11,0.99,2023-01-04 12:05:43.665622+00
2270,255,2021-02-27 00:00:00+00,817 Bradford Loop,Changzhou,,China,516UE-63,2.97,2023-01-04 12:05:43.666871+00
2271,256,2019-06-08 00:00:00+00,955 Bamenda Way,Ikerre,,Nigeria,1076LS-31,4.95,2023-01-04 12:05:43.66797+00
2272,257,2020-08-20 00:00:00+00,1149 A Corua (La Corua) Boulevard,Haiphong,,Vietnam,602ET-48,6.93,2023-01-04 12:05:43.669022+00
2273,258,2021-09-14 00:00:00+00,387 Mwene-Ditu Drive,Ashgabat,,Turkmenistan,753EA-18,3.96,2023-01-04 12:05:43.670052+00
2274,259,2021-12-19 00:00:00+00,68 Molodetno Manor,Witten,,Germany,571IC-97,2.97,2023-01-04 12:05:43.6711+00
2275,260,2020-08-24 00:00:00+00,642 Nador Drive,Bhusawal,,India,231AR-94,3.96,2023-01-04 12:05:43.672124+00
2276,261,2018-08-21 00:00:00+00,1688 Nador Lane,Gorontalo,,Indonesia,327AR-67,1.98,2023-01-04 12:05:43.673159+00
2277,262,2018-02-25 00:00:00+00,1215 Pyongyang Parkway,Usak,,Turkey,2510OS-13,1.98,2023-01-04 12:05:43.674198+00
2278,263,2021-09-25 00:00:00+00,1679 Antofagasta Street,Ciudad del Este,,Paraguay,1066IL-25,1.98,2023-01-04 12:05:43.675398+00
2279,264,2022-09-10 00:00:00+00,1304 s-Hertogenbosch Way,Blumenau,,Brazil,118ER-74,3.97,2023-01-04 12:05:43.677301+00
2280,265,2021-07-11 00:00:00+00,850 Salala Loop,Nuuk,,Greenland,1091ER-27,3.96,2023-01-04 12:05:43.67851+00
2281,266,2019-10-06 00:00:00+00,624 Oshawa Boulevard,Balurghat,,India,849UC-31,2.97,2023-01-04 12:05:43.679932+00
2282,267,2022-04-17 00:00:00+00,43 Dadu Avenue,Bhilwara,,India,908ON-64,4.95,2023-01-04 12:05:43.681328+00
2283,268,2018-07-05 00:00:00+00,751 Lima Loop,Aden,,Yemen,792LL-710,4.95,2023-01-04 12:05:43.68258+00
2284,269,2020-11-03 00:00:00+00,1333 Haldia Street,Fuyu,,China,2810TA-74,2.97,2023-01-04 12:05:43.683665+00
2285,270,2022-07-30 00:00:00+00,660 Jedda Boulevard,Bellevue,,United States,833IL-66,4.95,2023-01-04 12:05:43.684709+00
2286,271,2022-05-22 00:00:00+00,1001 Miyakonojo Lane,Taizz,,Yemen,850IN-49,2.98,2023-01-04 12:05:43.685741+00
2287,272,2018-01-15 00:00:00+00,226 Brest Manor,Sunnyvale,,United States,271RI-60,0.99,2023-01-04 12:05:43.686843+00
2288,273,2018-01-03 00:00:00+00,1229 Valencia Parkway,Stara Zagora,,Bulgaria,316ES-89,3.96,2023-01-04 12:05:43.687881+00
2289,274,2020-02-05 00:00:00+00,1201 Qomsheh Manor,Aparecida de Goinia,,Brazil,784AT-88,2.98,2023-01-04 12:05:43.688969+00
2290,275,2020-02-26 00:00:00+00,866 Shivapuri Manor,Sambhal,,India,267GN-90,1.98,2023-01-04 12:05:43.690407+00
2291,118,2019-02-21 00:00:00+00,81 Hodeida Way,Jaipur,,India,796IL-33,2.97,2023-01-04 12:05:43.693509+00
2292,119,2020-06-16 00:00:00+00,915 Ponce Place,Basel,,Switzerland,638AT-100,2.97,2023-01-04 12:05:43.695043+00
